Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,old rot,fix needed
C1,100n,C_0603_1608Metric,38.735,-111.6965,270,top,,,
C2,10u,C_0805_2012Metric,73.406,-85.598,270,top,,,
C3,4.7u,C_0603_1608Metric,86.106,-100.457,90,top,,,
C4,1u,C_0603_1608Metric,97.79,-107.696,270,top,,,
C5,4.7n,C_0603_1608Metric,33.401,-71.501,180,top,,,
C6,4.7n,C_0603_1608Metric,34.671,-62.23,180,top,,,
C7,4.7n,C_0603_1608Metric,35.814,-105.0925,180,top,,,
C8,4.7n,C_0603_1608Metric,35.052,-117.9195,180,top,,,
C9,10u,C_0805_2012Metric,66.9544,-87.1474,180,top,,,
C10,10u,C_0805_2012Metric,103.1113,-76.6191,0,top,,,
C11,100n,C_0603_1608Metric,66.675,-61.849,90,top,,,
C12,18p,C_0603_1608Metric,93.218,-51.562,90,top,,,
C13,220p,C_0603_1608Metric,50.546,-125.349,270,top,,,
C14,18p,C_0603_1608Metric,88.138,-51.816,270,top,,,
C15,220p,C_0603_1608Metric,38.862,-121.666,90,top,,,
C16,100n,C_0603_1608Metric,71.882,-64.643,90,top,,,
C17,100n,C_0603_1608Metric,44.45,-63.754,180,top,,,
C18,100n,C_0603_1608Metric,89.535,-56.007,0,top,,,
C19,100n,C_0603_1608Metric,83.5025,-41.3004,90,top,,,
C20,220p,C_0603_1608Metric,119.38,-67.691,0,top,,,
C21,220p,C_0603_1608Metric,119.507,-55.245,0,top,,,
C22,100n,C_0603_1608Metric,72.39,-41.783,90,top,,,
C23,100n,C_0603_1608Metric,67.3735,-58.3184,180,top,,,
C24,4.7u,C_0603_1608Metric,86.741,-63.2079,270,top,,,
C25,100n,C_0603_1608Metric,114.173,-95.377,270,top,,,
C26,10u,C_0805_2012Metric,91.821,-75.311,180,top,,,
C27,4.7u,C_0603_1608Metric,103.251,-65.024,90,top,,,
C28,100n,C_0603_1608Metric,94.1451,-67.8942,0,top,,,
C29,4.7u,C_0603_1608Metric,104.648,-68.1482,0,top,,,
C30,10u,C_0805_2012Metric,91.821,-73.279,180,top,,,
C31,4.7u,C_0603_1608Metric,104.648,-69.723,180,top,,,
C32,4.7u,C_0603_1608Metric,98.9076,-72.8472,270,top,,,
C33,4.7u,C_0603_1608Metric,97.3836,-72.8472,270,top,,,
C34,1u,C_0603_1608Metric,93.472,-46.482,0,top,,,
C35,100n,C_0603_1608Metric,39.878,-60.706,0,top,,,
C36,100n,C_0603_1608Metric,89.662,-58.5216,180,top,,,
C37,100n,C_0603_1608Metric,76.9366,-41.783,270,top,,,
C38,4.7n,C_0603_1608Metric,36.957,-89.9795,180,top,,,
C39,4.7n,C_0603_1608Metric,34.544,-102.743,180,top,,,
C40,100n,C_0603_1608Metric,38.227,-96.012,270,top,,,
C41,100n,C_0603_1608Metric,37.084,-66.675,270,top,,,
C42,220u,CP_Elec_6.3x5.9,82.55,-114.935,90,top,,270,180
C43,220u,CP_Elec_6.3x5.9,74.93,-114.808,90,top,,270,180
C44,4.7n,C_0603_1608Metric,116.078,-122.428,90,top,,,
C45,4.7n,C_0603_1608Metric,113.919,-102.616,90,top,,,
C46,4.7n,C_0603_1608Metric,120.65,-123.825,90,top,,,
C47,4.7n,C_0603_1608Metric,118.491,-104.013,90,top,,,
C48,4.7n,C_0603_1608Metric,121.031,-112.395,180,top,,,
C49,4.7n,C_0603_1608Metric,118.745,-92.329,180,top,,,
C50,100n,C_0603_1608Metric,116.459,-116.713,270,top,,,
C51,100n,C_0603_1608Metric,123.19,-61.722,90,top,,,
C52,100n,C_0603_1608Metric,67.7926,-49.3268,0,top,,,
C53,100n,C_0603_1608Metric,85.09,-63.2079,270,top,,,
C54,1u,C_0603_1608Metric,89.5985,-47.2059,0,top,,,
C55,10n,C_0603_1608Metric,89.5985,-45.6819,0,top,,,
C56,100n,C_0603_1608Metric,79.629,-63.246,90,top,,,
C57,100n,C_0603_1608Metric,67.6402,-46.2788,0,top,,,
C58,100n,C_0603_1608Metric,67.7418,-52.5272,0,top,,,
C59,100n,C_0603_1608Metric,73.533,-62.611,90,top,,,
C60,4.7n,C_0603_1608Metric,112.903,-75.692,270,top,,,
C61,4.7n,C_0603_1608Metric,111.887,-81.026,270,top,,,
C62,4.7n,C_0603_1608Metric,118.872,-74.7395,0,top,,,
C63,4.7n,C_0603_1608Metric,117.221,-87.122,0,top,,,
C64,100n,C_0603_1608Metric,113.538,-81.026,270,top,,,
C65,18p,C_0603_1608Metric,94.234,-98.933,0,top,,,
C66,10u,C_0805_2012Metric,97.917,-102.997,270,top,,,
C67,10u,C_0805_2012Metric,102.235,-100.9015,180,top,,,
C68,100n,C_0603_1608Metric,49.657,-36.322,0,top,,,
C69,100n,C_0603_1608Metric,109.474,-55.88,180,top,,,
C70,100n,C_0603_1608Metric,49.657,-37.846,0,top,,,
C71,10u,C_0805_2012Metric,115.824,-58.928,90,top,,,
C72,10u,C_0805_2012Metric,113.792,-58.039,270,top,,,
C73,100n,C_0603_1608Metric,79.248,-81.4325,90,top,,,
C74,100n,C_0603_1608Metric,86.4235,-32.7025,270,top,,,
C75,220p,C_0603_1608Metric,47.117,-131.953,270,top,,,
C76,220p,C_0603_1608Metric,38.354,-127.508,270,top,,,
C77,100n,C_0603_1608Metric,41.148,-131.318,180,top,,,
C79,10u,C_0805_2012Metric,65.913,-42.926,90,top,,,
D1,D_Schottky,D_SMA,95.0595,-104.8385,270,top,,,
D2,D_Schottky,D_SMA,100.7745,-105.537,270,top,,,
D3,D_Schottky,D_SMA,104.4575,-105.537,90,top,,,
D4,D_Schottky,D_SMA,82.7405,-104.8385,270,top,,,
D5,D_Schottky,D_SMA,43.18,-56.007,90,top,,,
D6,D_Schottky,D_SMA,46.863,-56.007,270,top,,,
D7,D_Schottky,D_SMA,35.687,-56.007,90,top,,,
D8,D_Schottky,D_SMA,39.37,-56.007,270,top,,,
