Designator,Mid X,Mid Y,Rotation,Layer
C1,35.357394,-106.355759,90.0,top
C10,103.1113,-76.6191,0.0,top
C11,66.6,-63.18,270.0,top
C12,93.218,-51.562,90.0,top
C14,88.138,-51.816,270.0,top
C15,49.445233,-107.767946,90.0,top
C16,71.882,-64.643,90.0,top
C17,44.45,-63.754,180.0,top
C18,89.535,-56.007,0.0,top
C19,83.6,-42.4,90.0,top
C2,73.406,-85.598,270.0,top
C20,119.38,-67.691,0.0,top
C21,119.507,-55.245,0.0,top
C22,72.39,-41.783,90.0,top
C23,67.3735,-58.3184,180.0,top
C24,86.741,-63.2079,270.0,top
C25,114.173,-95.377,270.0,top
C26,91.821,-75.311,180.0,top
C27,103.251,-65.024,90.0,top
C28,94.1451,-67.8942,0.0,top
C29,104.648,-68.1482,0.0,top
C3,86.044,-96.075,90.0,top
C30,91.821,-73.279,180.0,top
C31,104.648,-69.723,180.0,top
C32,98.9076,-72.8472,270.0,top
C33,97.3836,-72.8472,270.0,top
C34,93.472,-46.482,0.0,top
C35,39.878,-60.706,0.0,top
C36,89.662,-58.5216,180.0,top
C37,76.9366,-41.783,270.0,top
C38,36.844519,-79.408918,180.0,top
C39,34.525081,-93.377518,180.0,top
C4,97.728,-103.314,270.0,top
C40,37.130793,-91.356981,180.0,top
C41,37.0,-67.8,270.0,top
C42,82.55,-114.935,270.0,top
C43,74.93,-114.808,270.0,top
C44,116.078,-122.428,90.0,top
C45,113.919,-102.616,90.0,top
C46,120.65,-123.825,90.0,top
C47,118.491,-104.013,90.0,top
C48,121.031,-112.395,180.0,top
C49,118.745,-92.329,180.0,top
C5,33.401,-71.501,180.0,top
C50,116.459,-116.713,270.0,top
C51,123.19,-61.722,90.0,top
C52,67.7926,-49.3268,0.0,top
C53,85.09,-63.2079,270.0,top
C54,89.5985,-47.2059,0.0,top
C55,89.5985,-45.6819,0.0,top
C56,79.629,-63.246,90.0,top
C57,67.6402,-46.2788,0.0,top
C58,67.7418,-52.5272,0.0,top
