Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,100n,C14663 
"D1, D2, D3, D4, D5, D7",603,6,LED,C72038 
D8,LED_RGB_1210_reverse,1,LED_RABG,C264508
J44,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,C136000
J45,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_02x07_Odd_Even,C5160763 
J53,CUI_SJ1-3523N,1,SJ1-3523N-cap,C18594
"R1, R11, R13, R2",603,4,10k,C25804 
"R10, R12, R7, R8, R9",603,5,100,C22775 
"R14, R5, R6",603,3,1k,C21190
"R3, R4",603,2,220,C22962
U1,SOIC-24W_7.5x15.4mm_P1.27mm,1,CD74HC4067M,C2992617 
