Designator,Mid X,Mid Y,Layer,Rotation
C1,35.357394,-106.355759,top,90.000000
C2,73.406000,-85.598000,top,-90.000000
C3,86.044000,-96.075000,top,90.000000
C4,97.728000,-103.314000,top,-90.000000
C5,33.401000,-71.501000,top,180.000000
C6,34.671000,-62.230000,top,180.000000
C7,34.621253,-96.087779,top,180.000000
C8,33.376231,-107.422665,top,180.000000
C9,66.954400,-87.147400,top,180.000000
C10,103.111300,-76.619100,top,0.000000
C11,66.600000,-63.180000,top,-90.000000
C12,93.218000,-51.562000,top,90.000000
C14,88.138000,-51.816000,top,-90.000000
C16,71.882000,-64.643000,top,90.000000
C17,44.450000,-63.754000,top,180.000000
C18,89.535000,-56.007000,top,0.000000
C19,83.600000,-42.400000,top,90.000000
C20,119.380000,-67.691000,top,0.000000
C21,119.507000,-55.245000,top,0.000000
C22,72.390000,-41.783000,top,90.000000
C23,67.373500,-58.318400,top,180.000000
C24,86.741000,-63.207900,top,-90.000000
C25,114.173000,-95.377000,top,-90.000000
C26,91.821000,-75.311000,top,180.000000
C27,103.251000,-65.024000,top,90.000000
C28,94.145100,-67.894200,top,0.000000
C29,104.648000,-68.148200,top,0.000000
C30,91.821000,-73.279000,top,180.000000
C31,104.648000,-69.723000,top,180.000000
C32,98.907600,-72.847200,top,-90.000000
C33,97.383600,-72.847200,top,-90.000000
C34,93.472000,-46.482000,top,0.000000
C35,39.878000,-60.706000,top,0.000000
C36,89.662000,-58.521600,top,180.000000
C37,76.936600,-41.783000,top,-90.000000
C38,36.369083,-79.349600,top,180.000000
C39,34.525081,-93.377518,top,180.000000
C40,37.130793,-91.356981,top,180.000000
C41,37.000000,-67.800000,top,-90.000000
C42,82.550000,-114.935000,top,-90.000000
C43,74.930000,-114.808000,top,-90.000000
C44,116.078000,-122.428000,top,90.000000
C45,113.919000,-102.616000,top,90.000000
C46,120.650000,-123.825000,top,90.000000
C47,118.491000,-104.013000,top,90.000000
C48,121.031000,-112.395000,top,180.000000
C49,118.745000,-92.329000,top,180.000000
C50,116.459000,-116.713000,top,-90.000000
C51,123.190000,-61.722000,top,90.000000
C52,67.792600,-49.326800,top,0.000000
C53,85.090000,-63.207900,top,-90.000000
C54,89.598500,-47.205900,top,0.000000
C55,89.598500,-45.681900,top,0.000000
C56,79.629000,-63.246000,top,90.000000
C57,67.640200,-46.278800,top,0.000000
C58,67.741800,-52.527200,top,0.000000
C59,73.533000,-62.611000,top,90.000000
C60,112.903000,-75.692000,top,-90.000000
C61,111.887000,-81.026000,top,-90.000000
C62,118.872000,-74.739500,top,0.000000
C63,117.221000,-87.122000,top,0.000000
C64,113.538000,-81.026000,top,-90.000000
C65,94.172000,-94.551000,top,0.000000
C66,97.855000,-98.615000,top,-90.000000
C67,102.173000,-96.519500,top,180.000000
C68,49.657000,-36.322000,top,0.000000
C69,109.474000,-55.880000,top,180.000000
C70,49.657000,-37.846000,top,0.000000
C71,115.824000,-58.928000,top,90.000000
C72,113.792000,-58.039000,top,-90.000000
C73,79.248000,-81.432500,top,90.000000
C74,71.827483,-123.190000,top,0.000000
C75,51.994605,-118.020708,top,90.000000
C76,43.081592,-113.462071,top,-90.000000
