Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",-159.893000,-79.756000,180.000000,bottom
"C3","100n","C_0603_1608Metric",-151.892000,-60.833000,90.000000,bottom
"C4","100n","C_0603_1608Metric",-162.814000,-58.039000,90.000000,bottom
"C5","100n","C_0603_1608Metric",-151.638000,-77.724000,0.000000,bottom
"C6","100n","C_0603_1608Metric",-151.130000,-97.282000,90.000000,bottom
"C7","100n","C_0603_1608Metric",-168.656000,-108.966000,90.000000,bottom
"C8","100n","C_0603_1608Metric",-151.130000,-127.000000,90.000000,bottom
"C9","100n","C_0603_1608Metric",-168.910000,-78.740000,90.000000,bottom
"C10","10n","C_0603_1608Metric",-151.130000,-90.170000,90.000000,bottom
"C11","10n","C_0603_1608Metric",-167.386000,-104.902000,270.000000,bottom
"C12","10n","C_0603_1608Metric",-151.130000,-120.396000,90.000000,bottom
"C13","10n","C_0603_1608Metric",-168.148000,-74.422000,270.000000,bottom
"R1","3K","R_0603_1608Metric",-157.226000,-82.042000,90.000000,bottom
"R2","220R","R_0603_1608Metric",-165.608000,-52.832000,180.000000,bottom
"R3","220R","R_0603_1608Metric",-166.624000,-51.054000,0.000000,bottom
"R4","10k","R_0603_1608Metric",-159.893000,-77.978000,180.000000,bottom
"R5","7.5k","R_0603_1608Metric",-161.290000,-75.692000,270.000000,bottom
"R6","220R","R_0603_1608Metric",-165.100000,-62.103000,180.000000,bottom
"R7","10R","R_0603_1608Metric",-159.512000,-40.386000,90.000000,bottom
"R8","10R","R_0603_1608Metric",-157.734000,-48.768000,90.000000,bottom
"R9","220R","R_0603_1608Metric",-158.470000,-53.340000,0.000000,bottom
"R10","10R","R_0603_1608Metric",-157.988000,-40.386000,270.000000,bottom
"R11","10R","R_0603_1608Metric",-152.146000,-66.548000,270.000000,bottom
"R12","10R","R_0603_1608Metric",-151.130000,-71.628000,270.000000,bottom
"R13","10k","R_0603_1608Metric",-151.130000,-87.122000,90.000000,bottom
"R14","10k","R_0603_1608Metric",-168.910000,-101.600000,90.000000,bottom
"R15","10k","R_0603_1608Metric",-151.130000,-117.094000,90.000000,bottom
"R16","10k","R_0603_1608Metric",-168.656000,-71.374000,90.000000,bottom
"R17","56k","R_0603_1608Metric",-152.654000,-90.170000,90.000000,bottom
"R18","56k","R_0603_1608Metric",-168.910000,-104.902000,270.000000,bottom
"R19","56k","R_0603_1608Metric",-152.654000,-120.396000,90.000000,bottom
"R20","56k","R_0603_1608Metric",-166.624000,-74.422000,270.000000,bottom
"R21","220R","R_0603_1608Metric",-162.306000,-102.870000,180.000000,bottom
"R22","220R","R_0603_1608Metric",-157.988000,-118.618000,0.000000,bottom
"R23","220R","R_0603_1608Metric",-162.560000,-132.842000,180.000000,bottom
"R24","220R","R_0603_1608Metric",-158.242000,-88.392000,0.000000,bottom
"R25","3k","R_0603_1608Metric",-159.004000,-102.870000,0.000000,bottom
"R26","3k","R_0603_1608Metric",-161.290000,-118.618000,180.000000,bottom
"R27","3k","R_0603_1608Metric",-159.258000,-132.842000,0.000000,bottom
"R28","3k","R_0603_1608Metric",-161.544000,-88.392000,180.000000,bottom
"R29","220R","R_0603_1608Metric",-155.194000,-63.500000,0.000000,bottom
"U1","LM4040DBZ-2.5","SOT-23",-159.893000,-82.296000,270.000000,bottom
"U2","SN74LVC1G17DBV","SOT-23-5",-154.940000,-60.579000,270.000000,bottom
"U3","HCPL-0631","SOIC-8_3.9x4.9mm_P1.27mm",-166.370000,-57.531000,270.000000,bottom
"U4","DAC7554IDGS","MSOP-10_3x3mm_P0.5mm",-155.956000,-74.422000,180.000000,bottom
"U5","TL072","SOIC-8_3.9x4.9mm_P1.27mm",-154.940000,-95.504000,270.000000,bottom
"U6","TL072","SOIC-8_3.9x4.9mm_P1.27mm",-165.100000,-110.744000,270.000000,bottom
"U7","TL072","SOIC-8_3.9x4.9mm_P1.27mm",-154.940000,-125.984000,270.000000,bottom
"U8","TL072","SOIC-8_3.9x4.9mm_P1.27mm",-165.354000,-80.264000,270.000000,bottom
